zipcode,city,county,ziptype
75706,Tyler,Smith,Standard
75707,Tyler,Smith,Standard
75708,Tyler,Smith,Standard
75709,Tyler,Smith,Standard
75710,Tyler,Smith,Box
75711,Tyler,Smith,Box
75712,Tyler,Smith,Box
75713,Tyler,Smith,Box
75750,Arp,Smith,Standard
75751,Athens,Henderson,Standard
75752,Athens,Henderson,Standard
75754,Wheeler,Zandt,Standard
75755,Sandy,Upshur,Standard
75756,Brownsboro,Henderson,Standard
75757,Bullard,Smith,Standard
75758,Chandler,Henderson,Standard
75759,Cuney,Cherokee,Box
75760,Cushing,Nacogdoches,Standard
75762,Flint,Smith,Standard
75763,Frankston,Anderson,Standard
75764,Gallatin,Cherokee,Box
75765,Hawkins,Wood,Standard
75766,Jacksonville,Cherokee,Standard
75770,Larue,Henderson,Standard
75771,Lindale,Smith,Standard
75772,Maydelle,Cherokee,Box
75773,Mineola,Wood,Standard
75778,Murchison,Henderson,Standard
75779,Neches,Anderson,Box
75780,Summerfield,Cherokee,Box
75782,Poynor,Henderson,Box
75783,Quitman,Wood,Standard
75784,Reklaw,Cherokee,Standard
75785,Rusk,Cherokee,Standard
75788,Sacul,Nacogdoches,Box
75789,Troup,Smith,Standard
75790,Van,Zandt,Standard
75791,Whitehouse,Smith,Standard
75792,Winona,Smith,Standard
75797,Sandy,Upshur,Unique
75798,Tyler,Smith,Unique
75799,Tyler,Smith,Unique
75801,Palestine,Anderson,Standard
75802,Palestine,Anderson,Box
75803,Palestine,Anderson,Standard
75831,Buffalo,Leon,Standard
75832,Cayuga,Anderson,Box
75833,Centerville,Leon,Standard
75834,Centralia,Trinity,Standard
75835,Crockett,Houston,Standard
75838,Donie,Freestone,Standard
75839,Elkhart,Anderson,Standard
75840,Fairfield,Freestone,Standard
75844,Grapeland,Houston,Standard
75845,Groveton,Trinity,Standard
75846,Jewett,Leon,Standard
75847,Kennard,Houston,Standard
75848,Kirvin,Freestone,Box
75849,Latexo,Houston,Box
75850,Leona,Leon,Standard
75851,Lovelady,Houston,Standard
75852,Midway,Madison,Standard
75853,Montalba,Anderson,Standard
75855,Oakwood,Leon,Standard
75856,Pennington,Trinity,Standard
75858,Ratcliff,Houston,Box
75859,Streetman,Freestone,Standard
75860,Teague,Freestone,Standard
75861,Colony,Anderson,Standard
75862,Trinity,Trinity,Standard
75865,Woodlake,Trinity,Box
75880,Colony,Anderson,Unique
75882,Palestine,Anderson,Unique
75884,Colony,Anderson,Unique
75886,Colony,Anderson,Unique
75901,Lufkin,Angelina,Standard
75902,Lufkin,Angelina,Box
75903,Lufkin,Angelina,Box
75904,Lufkin,Angelina,Standard
75915,Lufkin,Angelina,Box
75925,Alto,Cherokee,Standard
75926,Springs,Trinity,Standard
75928,Wier,Newton,Standard
75929,Broaddus,Augustine,Standard
75930,Bronson,Sabine,Standard
75931,Brookeland,Jasper,Standard
75932,Burkeville,Newton,Standard
